"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.883291351E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.800000000E1
8.981802444E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.400000000E1
9.081749424E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.600000000E1
9.181296882E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.600000000E1
9.282939390E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.400000000E1
9.382768716E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.033611794E-1,2.000000000E0,3.000000000E0,2.900000000E1
9.481395497E1,6.506100456E1,2.546737251E1,1.451475089E1,3.200000000E1,0.000000000E0,NaN,1.035289043E-1,2.000000000E0,3.000000000E0,2.300000000E1
9.582623320E1,6.506100314E1,2.546737134E1,1.551475131E1,3.300000000E1,5.199999809E-1,1.653999939E2,1.036363750E-1,2.000000000E0,3.000000000E0,2.100000000E1
9.684040562E1,6.506100217E1,2.546737150E1,1.551475169E1,3.300000000E1,9.999999776E-3,1.653999939E2,1.036485670E-1,2.000000000E0,3.000000000E0,2.800000000E1
9.783284458E1,6.506100226E1,2.546737134E1,1.551475164E1,3.300000000E1,0.000000000E0,NaN,1.036564268E-1,2.000000000E0,3.000000000E0,2.200000000E1
9.882810243E1,6.506100226E1,2.546737117E1,1.551475162E1,3.300000000E1,0.000000000E0,NaN,1.036564268E-1,2.000000000E0,3.000000000E0,2.200000000E1
9.983454854E1,6.506100226E1,2.546737117E1,1.551475162E1,3.300000000E1,0.000000000E0,NaN,1.036564268E-1,2.000000000E0,3.000000000E0,2.400000000E1
1.008313737E2,6.506100226E1,2.546737117E1,1.551475162E1,3.300000000E1,0.000000000E0,NaN,1.036564268E-1,2.000000000E0,3.000000000E0,2.100000000E1
1.018308659E2,6.506100226E1,2.546737117E1,1.551475162E1,3.300000000E1,0.000000000E0,NaN,1.036564268E-1,2.000000000E0,3.000000000E0,2.400000000E1
1.028296374E2,6.506100226E1,2.546737117E1,1.551475162E1,3.300000000E1,0.000000000E0,NaN,1.060911335E-1,2.000000000E0,3.000000000E0,2.600000000E1
1.038279281E2,6.506101273E1,2.546741677E1,1.651475273E1,3.400000000E1,6.800000072E-1,1.081999969E2,1.073736330E-1,2.000000000E0,3.000000000E0,2.600000000E1
1.048387504E2,6.506101634E1,2.546744275E1,1.651475426E1,3.400000000E1,1.039999962E0,7.669999695E1,1.092403919E-1,2.000000000E0,3.000000000E0,2.200000000E1
1.058326153E2,6.506102275E1,2.546747955E1,1.551475594E1,3.300000000E1,9.599999785E-1,6.120000076E1,1.109879978E-1,1.500000000E0,2.000000000E0,2.900000000E1
1.068369764E2,6.506102916E1,2.546751358E1,1.551475730E1,3.300000000E1,1.029999971E0,6.250000000E1,1.125341014E-1,1.500000000E0,2.000000000E0,3.200000000E1
1.078337955E2,6.506103289E1,2.546754534E1,1.551475943E1,3.300000000E1,1.000000000E0,6.919999695E1,1.140245860E-1,2.000000000E0,3.000000000E0,2.500000000E1
1.088359986E2,6.506103239E1,2.546757711E1,1.451476318E1,3.200000000E1,7.400000095E-1,6.430000305E1,1.148688022E-1,2.000000000E0,3.000000000E0,2.500000000E1
1.098255007E2,6.506103558E1,2.546759346E1,1.351476380E1,3.100000000E1,8.499999642E-1,7.169999695E1,1.157361863E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.108352097E2,6.506103700E1,2.546761164E1,1.251476529E1,3.000000000E1,7.299999595E-1,7.059999847E1,1.165510617E-1,2.000000000E0,3.000000000E0,2.400000000E1
1.118384900E2,6.506104148E1,2.546762539E1,1.051476512E1,2.800000000E1,5.500000119E-1,6.659999847E1,1.169640410E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.128326185E2,6.506104513E1,2.546762707E1,8.514763917E0,2.600000000E1,5.799999833E-1,6.980000305E1,1.183632509E-1,1.500000000E0,2.000000000E0,2.500000000E1
1.138271081E2,6.506105238E1,2.546765146E1,7.514763883E0,2.500000000E1,8.499999642E-1,5.350000000E1,1.196353175E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.148331798E2,6.506106248E1,2.546766420E1,7.514761456E0,2.500000000E1,6.800000072E-1,4.820000076E1,1.205758830E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.158226130E2,6.506106864E1,2.546767795E1,7.514760645E0,2.500000000E1,7.500000000E-1,3.570000076E1,1.212509758E-1,1.500000000E0,2.000000000E0,2.300000000E1
1.168336861E2,6.506107459E1,2.546768080E1,8.514758694E0,2.600000000E1,6.699999571E-1,2.860000038E1,1.222001783E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.178271581E2,6.506108059E1,2.546769521E1,8.514758023E0,2.600000000E1,4.099999964E-1,2.010000038E1,1.236909200E-1,2.000000000E0,3.000000000E0,2.200000000E1
1.188428535E2,6.506109383E1,2.546770016E1,7.514753524E0,2.500000000E1,1.159999967E0,2.829999924E1,1.246652500E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.198285653E2,6.506109831E1,2.546771801E1,6.514753814E0,2.400000000E1,4.399999976E-1,2.620000076E1,1.252124679E-1,2.000000000E0,3.000000000E0,2.300000000E1
1.208330933E2,6.506109743E1,2.546772949E1,5.514755436E0,2.300000000E1,3.899999857E-1,2.379999924E1,1.256608454E-1,2.000000000E0,3.000000000E0,2.200000000E1
1.218323236E2,6.506110041E1,2.546773595E1,5.514755025E0,2.300000000E1,2.999999821E-1,1.750000000E1,1.263607584E-1,2.000000000E0,3.000000000E0,2.500000000E1
1.228294493E2,6.506110670E1,2.546773519E1,5.514752542E0,2.300000000E1,4.299999774E-1,8.300000191E0,1.270755863E-1,2.000000000E0,3.000000000E0,2.400000000E1
1.238345714E2,6.506111302E1,2.546773788E1,5.514750428E0,2.300000000E1,5.000000000E-1,2.900000000E1,1.352692840E-1,2.500000000E0,3.000000000E0,2.500000000E1
1.260088418E2,6.506116734E1,2.546761977E1,1.651471647E1,3.400000000E1,7.799999714E-1,0.000000000E0,1.606110025E-1,1.300000000E1,1.400000000E1,1.800000000E1
1.269909103E2,6.506094157E1,2.546769362E1,3.551481088E1,5.300000000E1,5.899999738E-1,0.000000000E0,1.674976488E-1,9.000000000E0,1.100000000E1,2.400000000E1
1.279852204E2,6.506088835E1,2.546761852E1,4.651482279E1,6.400000000E1,6.699999571E-1,0.000000000E0,1.742493018E-1,8.500000000E0,1.000000000E1,2.800000000E1
1.290021136E2,6.506094815E1,2.546764341E1,3.551480275E1,5.300000000E1,2.399999946E-1,0.000000000E0,1.759566551E-1,8.000000000E0,1.000000000E1,3.200000000E1
1.299849316E2,6.506093935E1,2.546761357E1,3.151480277E1,4.900000000E1,4.699999988E-1,0.000000000E0,1.769688171E-1,7.500000000E0,9.000000000E0,3.100000000E1
1.309924765E2,6.506094824E1,2.546761827E1,2.851479991E1,4.600000000E1,0.000000000E0,NaN,1.769688171E-1,7.000000000E0,8.000000000E0,3.000000000E1
1.319963726E2,6.506094824E1,2.546761827E1,2.851479991E1,4.600000000E1,0.000000000E0,NaN,1.769688171E-1,6.000000000E0,7.000000000E0,3.200000000E1
1.329953660E2,6.506094824E1,2.546761827E1,2.851479991E1,4.600000000E1,0.000000000E0,NaN,1.769688171E-1,6.000000000E0,6.000000000E0,3.200000000E1
1.339970322E2,6.506094824E1,2.546761827E1,2.851479991E1,4.600000000E1,0.000000000E0,NaN,1.788513931E-1,5.500000000E0,6.000000000E0,2.800000000E1
1.349938930E2,6.506096064E1,2.546759094E1,2.551479211E1,4.300000000E1,7.099999785E-1,0.000000000E0,1.804155812E-1,5.500000000E0,6.000000000E0,2.800000000E1
1.359904961E2,6.506097024E1,2.546756655E1,2.451478572E1,4.200000000E1,4.299999774E-1,0.000000000E0,1.816784228E-1,5.000000000E0,5.000000000E0,3.000000000E1
1.369942007E2,6.506098072E1,2.546755616E1,2.351478056E1,4.100000000E1,1.289999962E0,0.000000000E0,1.831060229E-1,4.500000000E0,5.000000000E0,2.700000000E1
1.379914363E2,6.506099157E1,2.546753990E1,2.251477459E1,4.000000000E1,5.299999714E-1,0.000000000E0,1.839815333E-1,4.500000000E0,5.000000000E0,2.700000000E1
1.389976549E2,6.506099350E1,2.546752179E1,2.351477183E1,4.100000000E1,5.600000024E-1,0.000000000E0,1.845262988E-1,5.000000000E0,5.000000000E0,2.700000000E1
1.399949402E2,6.506099082E1,2.546751207E1,2.451477177E1,4.200000000E1,3.100000024E-1,0.000000000E0,1.862038982E-1,4.500000000E0,5.000000000E0,2.500000000E1
1.409891070E2,6.506099404E1,2.546747711E1,2.451476662E1,4.200000000E1,5.500000119E-1,0.000000000E0,1.883881932E-1,5.000000000E0,5.000000000E0,2.700000000E1
1.419862730E2,6.506100691E1,2.546744191E1,2.451475777E1,4.200000000E1,1.149999976E0,3.092999878E2,1.898022703E-1,5.000000000E0,5.000000000E0,2.300000000E1
1.429986867E2,6.506101190E1,2.546741417E1,2.451475276E1,4.200000000E1,9.599999785E-1,3.077000122E2,1.913175272E-1,5.000000000E0,5.000000000E0,2.700000000E1
1.439872691E2,6.506100603E1,2.546738500E1,2.451475173E1,4.200000000E1,6.899999976E-1,2.945000000E2,1.925720846E-1,4.500000000E0,5.000000000E0,2.700000000E1
1.449692957E2,6.506099769E1,2.546736698E1,2.451475290E1,4.200000000E1,6.399999857E-1,2.738999939E2,1.945129177E-1,4.000000000E0,4.000000000E0,2.900000000E1
1.459942393E2,6.506100247E1,2.546732716E1,2.451474662E1,4.200000000E1,3.999999762E-1,2.637000122E2,1.951277843E-1,4.000000000E0,4.000000000E0,2.800000000E1
1.469895109E2,6.506099752E1,2.546732130E1,2.451474785E1,4.200000000E1,4.799999893E-1,2.536999969E2,1.968341120E-1,3.500000000E0,4.000000000E0,2.900000000E1
1.479864083E2,6.506100808E1,2.546729489E1,2.451474086E1,4.200000000E1,5.999999642E-1,2.516999969E2,1.987989086E-1,3.500000000E0,4.000000000E0,2.800000000E1
1.489944720E2,6.506101952E1,2.546726296E1,2.351473291E1,4.100000000E1,1.129999995E0,2.630000000E2,2.005251020E-1,3.500000000E0,4.000000000E0,2.700000000E1
1.499952453E2,6.506102233E1,2.546722675E1,2.451472778E1,4.200000000E1,5.999999642E-1,2.767000122E2,2.017536478E-1,3.500000000E0,4.000000000E0,2.500000000E1
1.509877653E2,6.506102703E1,2.546720303E1,2.451472333E1,4.200000000E1,1.100000024E0,2.982000122E2,2.026790389E-1,4.000000000E0,4.000000000E0,3.000000000E1
1.519908276E2,6.506103231E1,2.546718777E1,2.451471961E1,4.200000000E1,4.199999869E-1,3.016000061E2,2.038518677E-1,3.500000000E0,4.000000000E0,2.400000000E1
1.529769595E2,6.506102644E1,2.546716698E1,2.351471952E1,4.100000000E1,1.299999952E0,2.655000000E2,2.053244664E-1,3.500000000E0,4.000000000E0,2.300000000E1
1.539866485E2,6.506102095E1,2.546713840E1,2.251471842E1,4.000000000E1,5.799999833E-1,2.511999969E2,2.063148577E-1,3.500000000E0,4.000000000E0,2.400000000E1
1.549958584E2,6.506101747E1,2.546711896E1,2.151471757E1,3.900000000E1,4.799999893E-1,2.418000031E2,2.071847110E-1,3.500000000E0,4.000000000E0,2.600000000E1
1.559906972E2,6.506102480E1,2.546711250E1,1.951471405E1,3.700000000E1,4.499999881E-1,2.351000061E2,2.084058728E-1,3.500000000E0,4.000000000E0,2.900000000E1
1.569876323E2,6.506101609E1,2.546709666E1,1.851471560E1,3.600000000E1,5.299999714E-1,2.101000061E2,2.103809303E-1,3.500000000E0,4.000000000E0,3.000000000E1
1.579977908E2,6.506099869E1,2.546708811E1,1.851472129E1,3.600000000E1,7.599999905E-1,2.058000031E2,2.110092109E-1,3.000000000E0,4.000000000E0,3.000000000E1
1.589872582E2,6.506099647E1,2.546707579E1,1.751472076E1,3.500000000E1,6.599999666E-1,2.106999969E2,2.119953064E-1,3.000000000E0,3.000000000E0,2.800000000E1
1.599938164E2,6.506098885E1,2.546706506E1,1.751472247E1,3.500000000E1,8.299999833E-1,2.091999969E2,2.128870825E-1,3.000000000E0,3.000000000E0,2.700000000E1
1.609900932E2,6.506098323E1,2.546705148E1,1.751472310E1,3.500000000E1,8.599999547E-1,2.221999969E2,2.138006898E-1,2.500000000E0,3.000000000E0,2.800000000E1
1.620013390E2,6.506097657E1,2.546704008E1,1.751472437E1,3.500000000E1,1.039999962E0,2.486999969E2,2.145972753E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.630044518E2,6.506097024E1,2.546704805E1,1.851472767E1,3.600000000E1,5.399999619E-1,2.618999939E2,2.150629487E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.640019243E2,6.506096751E1,2.546704050E1,1.851472787E1,3.600000000E1,7.799999714E-1,2.815000000E2,2.159888715E-1,2.500000000E0,3.000000000E0,3.000000000E1
1.649966477E2,6.506096161E1,2.546702659E1,1.851472857E1,3.600000000E1,1.039999962E0,2.667999878E2,2.162832934E-1,2.500000000E0,3.000000000E0,3.100000000E1
1.659909320E2,6.506095989E1,2.546702181E1,1.851472869E1,3.600000000E1,7.699999809E-1,2.665000000E2,2.168075482E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.669866129E2,6.506095628E1,2.546702902E1,1.851473088E1,3.600000000E1,7.999999523E-1,2.658999939E2,2.180409357E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.679964473E2,6.506094551E1,2.546703530E1,1.851473570E1,3.600000000E1,5.399999619E-1,2.430000000E2,2.194411811E-1,2.500000000E0,3.000000000E0,2.900000000E1
1.689924180E2,6.506093294E1,2.546703698E1,1.951474069E1,3.700000000E1,5.099999905E-1,2.321000061E2,NaN,2.500000000E0,3.000000000E0,2.900000000E1
